failure_mode,test_step,severity,detection_method,diagnosis_procedure,repair_strategy,status
No_power_rails_stable,Step_1,High,Multimeter_measurements,Check_PSU_output,_verify_connections,Not_Tested
Excessive_current_draw,Step_1,High,Current_monitoring,Locate_short_circuits,_visual_inspection,Not_Tested
Invalid_JTAG_ID,Step_1,Medium,JTAG_interface_test,Check_connectivity,_verify_power_sequence,Not_Tested
No_reset_response,Step_1,High,Oscilloscope_trigger,Verify_RST_signal,_check_reset_circuitry,Not_Tested
Unstable_core_clock,Step_1,High,Oscilloscope_measurement,Check_crystal_oscillator,_verify_load_caps,Not_Tested
Incomplete_scan_chain,Step_2,Medium,JTAG_scan_test,Identify_broken_scan,_trace_and_repair_path,Not_Tested
BIST_failure_memory,Step_2,Medium,BIST_engine_status,Locate_faulty_memory,_analyze_failure_pattern,Not_Tested
BIST_failure_logic,Step_2,Medium,BIST_engine_status,Identify_logic_block,_debug_circuitry,Not_Tested
March_test_failure,Step_2,Medium,March_algorithm_test,Check_memory_decoding,_verify_addressing,Not_Tested
Firmware_load_failure,Step_3,High,UART_communication,Verify_bootloader,_check_serial_interface,Not_Tested
CSR_access_failure,Step_3,Medium,Register_read_write,Check_AXI_interface,_verify_decoding_logic,Not_Tested
UART_no_response,Step_3,Low,Terminal_communication,Check_UART_controller,_verify_pin_mux,Not_Tested
SPI_interface_error,Step_3,Low,SPI_loopback_test,Check_SPI_controller,_verify_signals,Not_Tested
OODA_latency_exceeds_tolerance,Step_4,Medium,Latency_measurement,Compare_with_simulation,_analyze_bottlenecks,Not_Tested
EML_accuracy_degraded,Step_4,High,Accuracy_verification,Compare_with_golden_model,_check_math_units,Not_Tested
SNN_inference_error,Step_4,High,Inference_validation,Validate_network_weights,_check_spiking_behavior,Not_Tested
Power_consumption_high,Step_4,Medium,Power_monitoring,Profile_power_domains,_optimize_switching_activity,Not_Tested
Thermal_runaway,Step_4,High,Temperature_monitoring,Check_power_management,_verify_thermal_design,Not_Tested
Clock_jitter_excessive,Step_4,High,Oscilloscope_jitter_analyzer,Check_PLL_stability,_verify_power_supply,Not_Tested
Cache_performance_degraded,Step_4,Medium,Performance_profiling,Analyze_hit_rate,_check_cache_logic,Not_Tested
NVM_reliability_issues,Step_4,High,NVM_stress_test,Check_ECC_algorithms,_verify_wear_leveling,Not_Tested
