pin_number,pin_name,pin_type,function_group,voltage_domain,io_standard,usage_notes
1,VDD_1V8,POWER,IO_POWER,1.8V,NA,IO and NVM power supply
2,GND,GROUND,POWER_GND,0V,NA,Ground reference
3,GND,GROUND,POWER_GND,0V,NA,Ground reference
4,jtag_tck,INPUT,JTAG_CTRL,1.8V,CMOS,Clock for JTAG TAP
5,jtag_tms,INPUT,JTAG_CTRL,1.8V,CMOS,Mode select for JTAG
6,jtag_tdi,INPUT,JTAG_CTRL,1.8V,CMOS,Data input for JTAG
7,jtag_tdo,OUTPUT,JTAG_CTRL,1.8V,CMOS,Data output from JTAG
8,jtag_trst,INPUT,JTAG_CTRL,1.8V,CMOS,Test reset input
9,spi_clk,INPUT,SPI_INTERFACE,1.8V,CMOS,SPI clock from master
10,spi_mosi,INPUT,SPI_INTERFACE,1.8V,CMOS,SPI master-out-slave-in
11,spi_miso,OUTPUT,SPI_INTERFACE,1.8V,CMOS,SPI master-in-slave-out
12,spi_cs,INPUT,SPI_INTERFACE,1.8V,CMOS,SPI chip select
13,uart_tx,OUTPUT,UART_INTERFACE,1.8V,CMOS,UART transmit
14,uart_rx,INPUT,UART_INTERFACE,1.8V,CMOS,UART receive
15,uart_rts,OUTPUT,UART_INTERFACE,1.8V,CMOS,UART ready-to-send
16,uart_cts,INPUT,UART_INTERFACE,1.8V,CMOS,UART clear-to-send
17,i_clk,INPUT,CLOCK_INPUT,1.8V,CMOS,Main processor clock (250MHz)
18,i_clk_snn,INPUT,CLOCK_INPUT,1.8V,CMOS,SNN domain clock (125MHz)
19,i_rst,INPUT,RESET_CTRL,1.8V,CMOS,Primary reset input
20,o_irq,OUTPUT,INTERRUPT,1.8V,CMOS,Interrupt request
21,adc_iq_p,INPUT,ADC_INTERFACE,1.8V,Analog,I/Q ADC positive input
22,adc_iq_n,INPUT,ADC_INTERFACE,1.8V,Analog,I/Q ADC negative input
23,rf_clk,INPUT,ADC_INTERFACE,1.8V,CMOS,RF sampling clock
24,VDD_CORE,POWER,CORE_POWER,1.2V,NA,Core logic power supply
25,GND,GROUND,POWER_GND,0V,NA,Ground reference
26,GND,GROUND,POWER_GND,0V,NA,Ground reference
27,VDD_SNN,POWER,SNN_POWER,0.9V,NA,SNN domain power supply
28,GND,GROUND,POWER_GND,0V,NA,Ground reference
29,debug_uart[0],OUTPUT,DEBUG,1.8V,CMOS,Debug UART bit 0
30,debug_uart[1],OUTPUT,DEBUG,1.8V,CMOS,Debug UART bit 1
31,debug_uart[2],OUTPUT,DEBUG,1.8V,CMOS,Debug UART bit 2
32,debug_uart[3],OUTPUT,DEBUG,1.8V,CMOS,Debug UART bit 3
33,debug_uart[4],OUTPUT,DEBUG,1.8V,CMOS,Debug UART bit 4
34,debug_uart[5],OUTPUT,DEBUG,1.8V,CMOS,Debug UART bit 5
35,debug_uart[6],OUTPUT,DEBUG,1.8V,CMOS,Debug UART bit 6
36,debug_uart[7],OUTPUT,DEBUG,1.8V,CMOS,Debug UART bit 7
37,nvm_ce,OUTPUT,NVM_CTRL,1.8V,CMOS,NVM chip enable
38,nvm_oe,OUTPUT,NVM_CTRL,1.8V,CMOS,NVM output enable
39,nvm_we,OUTPUT,NVM_CTRL,1.8V,CMOS,NVM write enable
40,nvm_addr[0],OUTPUT,NVM_CTRL,1.8V,CMOS,NVM address bit 0
41,nvm_addr[1],OUTPUT,NVM_CTRL,1.8V,CMOS,NVM address bit 1
42,nvm_addr[2],OUTPUT,NVM_CTRL,1.8V,CMOS,NVM address bit 2
